"","rater_id","rated_ID","Group","presItem","prestigeRatings","id"
"6.R14",7,8,2,"R14",5,6
"7.R14",7,9,2,"R14",2,7
"8.R14",7,10,2,"R14",1,8
"5.R15",7,6,2,"R15",4,5
"6.R15",7,8,2,"R15",4,6
"7.R15",7,9,2,"R15",2,7
"8.R15",7,10,2,"R15",2,8
"5.R17rev",7,6,2,"R17rev",7,5
"6.R17rev",7,8,2,"R17rev",7,6
"7.R17rev",7,9,2,"R17rev",7,7
"8.R17rev",7,10,2,"R17rev",6,8
"9.R1",8,6,2,"R1",7,9
"10.R1",8,7,2,"R1",6,10
"11.R1",8,9,2,"R1",5,11
"12.R1",8,10,2,"R1",2,12
"9.R2rev",8,6,2,"R2rev",7,9
"10.R2rev",8,7,2,"R2rev",6,10
"11.R2rev",8,9,2,"R2rev",6,11
"12.R2rev",8,10,2,"R2rev",6,12
"9.R4",8,6,2,"R4",6,9
"10.R4",8,7,2,"R4",5,10
"11.R4",8,9,2,"R4",5,11
"12.R4",8,10,2,"R4",3,12
"9.R6rev",8,6,2,"R6rev",7,9
"10.R6rev",8,7,2,"R6rev",6,10
"11.R6rev",8,9,2,"R6rev",5,11
"12.R6rev",8,10,2,"R6rev",4,12
"9.R8",8,6,2,"R8",7,9
"10.R8",8,7,2,"R8",6,10
"11.R8",8,9,2,"R8",5,11
"12.R8",8,10,2,"R8",3,12
"9.R13",8,6,2,"R13",7,9
"10.R13",8,7,2,"R13",6,10
"11.R13",8,9,2,"R13",6,11
"12.R13",8,10,2,"R13",5,12
"9.R14",8,6,2,"R14",7,9
"10.R14",8,7,2,"R14",6,10
"11.R14",8,9,2,"R14",5,11
"12.R14",8,10,2,"R14",4,12
"9.R15",8,6,2,"R15",7,9
"10.R15",8,7,2,"R15",7,10
"11.R15",8,9,2,"R15",5,11
"12.R15",8,10,2,"R15",3,12
"9.R17rev",8,6,2,"R17rev",6,9
"10.R17rev",8,7,2,"R17rev",6,10
"11.R17rev",8,9,2,"R17rev",6,11
"12.R17rev",8,10,2,"R17rev",6,12
"13.R1",9,6,2,"R1",7,13
"14.R1",9,7,2,"R1",6,14
"15.R1",9,8,2,"R1",4,15
"16.R1",9,10,2,"R1",6,16
"13.R2rev",9,6,2,"R2rev",7,13
"14.R2rev",9,7,2,"R2rev",6,14
"15.R2rev",9,8,2,"R2rev",5,15
"16.R2rev",9,10,2,"R2rev",6,16
"13.R4",9,6,2,"R4",7,13
"14.R4",9,7,2,"R4",4,14
"15.R4",9,8,2,"R4",4,15
"16.R4",9,10,2,"R4",4,16
"13.R6rev",9,6,2,"R6rev",7,13
"14.R6rev",9,7,2,"R6rev",7,14
"15.R6rev",9,8,2,"R6rev",7,15
"16.R6rev",9,10,2,"R6rev",7,16
"13.R8",9,6,2,"R8",7,13
"14.R8",9,7,2,"R8",7,14
"15.R8",9,8,2,"R8",6,15
"16.R8",9,10,2,"R8",6,16
"13.R13",9,6,2,"R13",7,13
"14.R13",9,7,2,"R13",6,14
"15.R13",9,8,2,"R13",6,15
"16.R13",9,10,2,"R13",5,16
"13.R14",9,6,2,"R14",7,13
"14.R14",9,7,2,"R14",4,14
"15.R14",9,8,2,"R14",6,15
"16.R14",9,10,2,"R14",3,16
"13.R15",9,6,2,"R15",6,13
"14.R15",9,7,2,"R15",4,14
"15.R15",9,8,2,"R15",5,15
"16.R15",9,10,2,"R15",4,16
"13.R17rev",9,6,2,"R17rev",7,13
"14.R17rev",9,7,2,"R17rev",7,14
"15.R17rev",9,8,2,"R17rev",7,15
"16.R17rev",9,10,2,"R17rev",7,16
"17.R1",10,6,2,"R1",6,17
"18.R1",10,7,2,"R1",5,18
"19.R1",10,8,2,"R1",5,19
"20.R1",10,9,2,"R1",5,20
"17.R2rev",10,6,2,"R2rev",7,17
"18.R2rev",10,7,2,"R2rev",5,18
"19.R2rev",10,8,2,"R2rev",6,19
"20.R2rev",10,9,2,"R2rev",3,20
"17.R4",10,6,2,"R4",5,17
"18.R4",10,7,2,"R4",4,18
"19.R4",10,8,2,"R4",5,19
"20.R4",10,9,2,"R4",4,20
"17.R6rev",10,6,2,"R6rev",6,17
"18.R6rev",10,7,2,"R6rev",6,18
"19.R6rev",10,8,2,"R6rev",6,19
"20.R6rev",10,9,2,"R6rev",5,20
"17.R8",10,6,2,"R8",6,17
"18.R8",10,7,2,"R8",6,18
"19.R8",10,8,2,"R8",5,19
"20.R8",10,9,2,"R8",6,20
"17.R13",10,6,2,"R13",5,17
"18.R13",10,7,2,"R13",5,18
"19.R13",10,8,2,"R13",4,19
"20.R13",10,9,2,"R13",4,20
"17.R14",10,6,2,"R14",6,17
"18.R14",10,7,2,"R14",5,18
"19.R14",10,8,2,"R14",5,19
"20.R14",10,9,2,"R14",3,20
"17.R15",10,6,2,"R15",7,17
"18.R15",10,7,2,"R15",5,18
"19.R15",10,8,2,"R15",5,19
"20.R15",10,9,2,"R15",3,20
"17.R17rev",10,6,2,"R17rev",7,17
"18.R17rev",10,7,2,"R17rev",6,18
"19.R17rev",10,8,2,"R17rev",6,19
"20.R17rev",10,9,2,"R17rev",7,20
"21.R1",11,12,3,"R1",7,21
"22.R1",11,13,3,"R1",6,22
"23.R1",11,14,3,"R1",7,23
"24.R1",11,15,3,"R1",7,24
"21.R2rev",11,12,3,"R2rev",7,21
"22.R2rev",11,13,3,"R2rev",6,22
"23.R2rev",11,14,3,"R2rev",7,23
"24.R2rev",11,15,3,"R2rev",7,24
"21.R4",11,12,3,"R4",6,21
"22.R4",11,13,3,"R4",6,22
"23.R4",11,14,3,"R4",6,23
"24.R4",11,15,3,"R4",6,24
"21.R6rev",11,12,3,"R6rev",7,21
"22.R6rev",11,13,3,"R6rev",6,22
"23.R6rev",11,14,3,"R6rev",7,23
"24.R6rev",11,15,3,"R6rev",7,24
"21.R8",11,12,3,"R8",7,21
"22.R8",11,13,3,"R8",6,22
"23.R8",11,14,3,"R8",7,23
"24.R8",11,15,3,"R8",7,24
"21.R13",11,12,3,"R13",7,21
"22.R13",11,13,3,"R13",7,22
"23.R13",11,14,3,"R13",7,23
"24.R13",11,15,3,"R13",7,24
"21.R14",11,12,3,"R14",6,21
"22.R14",11,13,3,"R14",7,22
"23.R14",11,14,3,"R14",7,23
"24.R14",11,15,3,"R14",6,24
"21.R15",11,12,3,"R15",6,21
"22.R15",11,13,3,"R15",5,22
"23.R15",11,14,3,"R15",7,23
"24.R15",11,15,3,"R15",6,24
"21.R17rev",11,12,3,"R17rev",7,21
"22.R17rev",11,13,3,"R17rev",6,22
"23.R17rev",11,14,3,"R17rev",7,23
"24.R17rev",11,15,3,"R17rev",7,24
"25.R1",12,11,3,"R1",7,25
"26.R1",12,13,3,"R1",4,26
"27.R1",12,14,3,"R1",6,27
"28.R1",12,15,3,"R1",5,28
"25.R2rev",12,11,3,"R2rev",7,25
"26.R2rev",12,13,3,"R2rev",2,26
"27.R2rev",12,14,3,"R2rev",6,27
"28.R2rev",12,15,3,"R2rev",7,28
"25.R4",12,11,3,"R4",2,25
"26.R4",12,13,3,"R4",2,26
"27.R4",12,14,3,"R4",6,27
"28.R4",12,15,3,"R4",5,28
"25.R6rev",12,11,3,"R6rev",7,25
"26.R6rev",12,13,3,"R6rev",2,26
"27.R6rev",12,14,3,"R6rev",6,27
"28.R6rev",12,15,3,"R6rev",4,28
"25.R8",12,11,3,"R8",4,25
"26.R8",12,13,3,"R8",2,26
"27.R8",12,14,3,"R8",6,27
"28.R8",12,15,3,"R8",5,28
"25.R13",12,11,3,"R13",6,25
"26.R13",12,13,3,"R13",2,26
"27.R13",12,14,3,"R13",5,27
"28.R13",12,15,3,"R13",1,28
"25.R14",12,11,3,"R14",7,25
"26.R14",12,13,3,"R14",4,26
"27.R14",12,14,3,"R14",7,27
"28.R14",12,15,3,"R14",3,28
"25.R15",12,11,3,"R15",6,25
"26.R15",12,13,3,"R15",2,26
"27.R15",12,14,3,"R15",7,27
"28.R15",12,15,3,"R15",5,28
"25.R17rev",12,11,3,"R17rev",7,25
"26.R17rev",12,13,3,"R17rev",1,26
"27.R17rev",12,14,3,"R17rev",6,27
"28.R17rev",12,15,3,"R17rev",6,28
"29.R1",13,11,3,"R1",6,29
"30.R1",13,12,3,"R1",5,30
"31.R1",13,14,3,"R1",6,31
"32.R1",13,15,3,"R1",4,32
"29.R2rev",13,11,3,"R2rev",7,29
"30.R2rev",13,12,3,"R2rev",7,30
"31.R2rev",13,14,3,"R2rev",7,31
"32.R2rev",13,15,3,"R2rev",4,32
"29.R4",13,11,3,"R4",5,29
"30.R4",13,12,3,"R4",5,30
"31.R4",13,14,3,"R4",5,31
"32.R4",13,15,3,"R4",5,32
"29.R6rev",13,11,3,"R6rev",7,29
"30.R6rev",13,12,3,"R6rev",7,30
"31.R6rev",13,14,3,"R6rev",6,31
"32.R6rev",13,15,3,"R6rev",5,32
"29.R8",13,11,3,"R8",7,29
"30.R8",13,12,3,"R8",6,30
"31.R8",13,14,3,"R8",6,31
"32.R8",13,15,3,"R8",4,32
"29.R13",13,11,3,"R13",7,29
"30.R13",13,12,3,"R13",6,30
"31.R13",13,14,3,"R13",6,31
"32.R13",13,15,3,"R13",6,32
"29.R14",13,11,3,"R14",7,29
"30.R14",13,12,3,"R14",6,30
"31.R14",13,14,3,"R14",7,31
"32.R14",13,15,3,"R14",6,32
"29.R15",13,11,3,"R15",7,29
"30.R15",13,12,3,"R15",6,30
"31.R15",13,14,3,"R15",7,31
"32.R15",13,15,3,"R15",6,32
"29.R17rev",13,11,3,"R17rev",7,29
"30.R17rev",13,12,3,"R17rev",7,30
"31.R17rev",13,14,3,"R17rev",7,31
"32.R17rev",13,15,3,"R17rev",4,32
"33.R1",14,11,3,"R1",6,33
"34.R1",14,12,3,"R1",5,34
"35.R1",14,13,3,"R1",3,35
"36.R1",14,15,3,"R1",4,36
"33.R2rev",14,11,3,"R2rev",4,33
"34.R2rev",14,12,3,"R2rev",4,34
"35.R2rev",14,13,3,"R2rev",4,35
"36.R2rev",14,15,3,"R2rev",4,36
"33.R4",14,11,3,"R4",2,33
"34.R4",14,12,3,"R4",5,34
"35.R4",14,13,3,"R4",1,35
"36.R4",14,15,3,"R4",2,36
"33.R6rev",14,11,3,"R6rev",3,33
"34.R6rev",14,12,3,"R6rev",7,34
"35.R6rev",14,13,3,"R6rev",4,35
"36.R6rev",14,15,3,"R6rev",6,36
"33.R8",14,11,3,"R8",6,33
"34.R8",14,12,3,"R8",6,34
"35.R8",14,13,3,"R8",2,35
"36.R8",14,15,3,"R8",4,36
"33.R13",14,11,3,"R13",6,33
"34.R13",14,12,3,"R13",5,34
"35.R13",14,13,3,"R13",4,35
"36.R13",14,15,3,"R13",6,36
"33.R14",14,11,3,"R14",7,33
"34.R14",14,12,3,"R14",6,34
"35.R14",14,13,3,"R14",6,35
"36.R14",14,15,3,"R14",6,36
"33.R15",14,11,3,"R15",5,33
"34.R15",14,12,3,"R15",6,34
"35.R15",14,13,3,"R15",4,35
"36.R15",14,15,3,"R15",5,36
"33.R17rev",14,11,3,"R17rev",7,33
"34.R17rev",14,12,3,"R17rev",7,34
"35.R17rev",14,13,3,"R17rev",2,35
"36.R17rev",14,15,3,"R17rev",5,36
"37.R1",15,11,3,"R1",7,37
"38.R1",15,12,3,"R1",7,38
"39.R1",15,13,3,"R1",5,39
"40.R1",15,14,3,"R1",7,40
"37.R2rev",15,11,3,"R2rev",7,37
"38.R2rev",15,12,3,"R2rev",7,38
"39.R2rev",15,13,3,"R2rev",3,39
"40.R2rev",15,14,3,"R2rev",5,40
"37.R4",15,11,3,"R4",5,37
"38.R4",15,12,3,"R4",6,38
"39.R4",15,13,3,"R4",6,39
"40.R4",15,14,3,"R4",6,40
"37.R6rev",15,11,3,"R6rev",7,37
"38.R6rev",15,12,3,"R6rev",7,38
"39.R6rev",15,13,3,"R6rev",6,39
"40.R6rev",15,14,3,"R6rev",7,40
"37.R8",15,11,3,"R8",7,37
"38.R8",15,12,3,"R8",7,38
"39.R8",15,13,3,"R8",6,39
"40.R8",15,14,3,"R8",6,40
"37.R13",15,11,3,"R13",7,37
"38.R13",15,12,3,"R13",7,38
"39.R13",15,13,3,"R13",6,39
"40.R13",15,14,3,"R13",6,40
"37.R14",15,11,3,"R14",7,37
"38.R14",15,12,3,"R14",7,38
"39.R14",15,13,3,"R14",7,39
"40.R14",15,14,3,"R14",7,40
"37.R15",15,11,3,"R15",6,37
"38.R15",15,12,3,"R15",7,38
"39.R15",15,13,3,"R15",7,39
"40.R15",15,14,3,"R15",7,40
"37.R17rev",15,11,3,"R17rev",7,37
"38.R17rev",15,12,3,"R17rev",7,38
"39.R17rev",15,13,3,"R17rev",5,39
"40.R17rev",15,14,3,"R17rev",6,40
"41.R1",16,17,4,"R1",6,41
"42.R1",16,18,4,"R1",7,42
"43.R1",16,19,4,"R1",4,43
"44.R1",16,20,4,"R1",7,44
"41.R2rev",16,17,4,"R2rev",7,41
"42.R2rev",16,18,4,"R2rev",7,42
"43.R2rev",16,19,4,"R2rev",7,43
"44.R2rev",16,20,4,"R2rev",7,44
"41.R4",16,17,4,"R4",4,41
"42.R4",16,18,4,"R4",4,42
"43.R4",16,19,4,"R4",4,43
"44.R4",16,20,4,"R4",7,44
"41.R6rev",16,17,4,"R6rev",7,41
"42.R6rev",16,18,4,"R6rev",7,42
"43.R6rev",16,19,4,"R6rev",7,43
"44.R6rev",16,20,4,"R6rev",7,44
"41.R8",16,17,4,"R8",6,41
"42.R8",16,18,4,"R8",7,42
"43.R8",16,19,4,"R8",6,43
"44.R8",16,20,4,"R8",7,44
"41.R13",16,17,4,"R13",7,41
"42.R13",16,18,4,"R13",6,42
"43.R13",16,19,4,"R13",6,43
"44.R13",16,20,4,"R13",7,44
"41.R14",16,17,4,"R14",6,41
"42.R14",16,18,4,"R14",5,42
"43.R14",16,19,4,"R14",4,43
"44.R14",16,20,4,"R14",7,44
"41.R15",16,17,4,"R15",5,41
"42.R15",16,18,4,"R15",6,42
"43.R15",16,19,4,"R15",5,43
"44.R15",16,20,4,"R15",6,44
"41.R17rev",16,17,4,"R17rev",7,41
"42.R17rev",16,18,4,"R17rev",7,42
"43.R17rev",16,19,4,"R17rev",7,43
"44.R17rev",16,20,4,"R17rev",7,44
"45.R1",17,16,4,"R1",7,45
"46.R1",17,18,4,"R1",6,46
"47.R1",17,19,4,"R1",6,47
"48.R1",17,20,4,"R1",6,48
"45.R2rev",17,16,4,"R2rev",7,45
"46.R2rev",17,18,4,"R2rev",3,46
"47.R2rev",17,19,4,"R2rev",7,47
"48.R2rev",17,20,4,"R2rev",6,48
"45.R4",17,16,4,"R4",4,45
"46.R4",17,18,4,"R4",4,46
"47.R4",17,19,4,"R4",1,47
"48.R4",17,20,4,"R4",4,48
"45.R6rev",17,16,4,"R6rev",7,45
"46.R6rev",17,18,4,"R6rev",5,46
"47.R6rev",17,19,4,"R6rev",7,47
"48.R6rev",17,20,4,"R6rev",6,48
"45.R8",17,16,4,"R8",6,45
"46.R8",17,18,4,"R8",5,46
"47.R8",17,19,4,"R8",5,47
"48.R8",17,20,4,"R8",6,48
"45.R13",17,16,4,"R13",4,45
"46.R13",17,18,4,"R13",3,46
"47.R13",17,19,4,"R13",2,47
"48.R13",17,20,4,"R13",3,48
"45.R14",17,16,4,"R14",3,45
"46.R14",17,18,4,"R14",4,46
"47.R14",17,19,4,"R14",3,47
"48.R14",17,20,4,"R14",5,48
"45.R15",17,16,4,"R15",3,45
"46.R15",17,18,4,"R15",4,46
"47.R15",17,19,4,"R15",3,47
"48.R15",17,20,4,"R15",5,48
"45.R17rev",17,16,4,"R17rev",7,45
"46.R17rev",17,18,4,"R17rev",7,46
"47.R17rev",17,19,4,"R17rev",7,47
"48.R17rev",17,20,4,"R17rev",7,48
"49.R1",18,16,4,"R1",6,49
"50.R1",18,17,4,"R1",6,50
"51.R1",18,19,4,"R1",5,51
"52.R1",18,20,4,"R1",6,52
"49.R2rev",18,16,4,"R2rev",6,49
"50.R2rev",18,17,4,"R2rev",7,50
"51.R2rev",18,19,4,"R2rev",7,51
"52.R2rev",18,20,4,"R2rev",7,52
"49.R4",18,16,4,"R4",4,49
"50.R4",18,17,4,"R4",4,50
"51.R4",18,19,4,"R4",1,51
"52.R4",18,20,4,"R4",3,52
"49.R6rev",18,16,4,"R6rev",6,49
"50.R6rev",18,17,4,"R6rev",7,50
"51.R6rev",18,19,4,"R6rev",7,51
"52.R6rev",18,20,4,"R6rev",7,52
"49.R8",18,16,4,"R8",6,49
"50.R8",18,17,4,"R8",6,50
"51.R8",18,19,4,"R8",6,51
"52.R8",18,20,4,"R8",6,52
"49.R13",18,16,4,"R13",6,49
"50.R13",18,17,4,"R13",7,50
"51.R13",18,19,4,"R13",6,51
"52.R13",18,20,4,"R13",6,52
"49.R14",18,16,4,"R14",5,49
"50.R14",18,17,4,"R14",7,50
"51.R14",18,19,4,"R14",5,51
"52.R14",18,20,4,"R14",6,52
"49.R15",18,16,4,"R15",5,49
"50.R15",18,17,4,"R15",6,50
"51.R15",18,19,4,"R15",5,51
"52.R15",18,20,4,"R15",5,52
"49.R17rev",18,16,4,"R17rev",7,49
"50.R17rev",18,17,4,"R17rev",7,50
"51.R17rev",18,19,4,"R17rev",7,51
"52.R17rev",18,20,4,"R17rev",7,52
"53.R1",20,16,4,"R1",6,53
"54.R1",20,17,4,"R1",6,54
"55.R1",20,18,4,"R1",7,55
"56.R1",20,19,4,"R1",6,56
"53.R2rev",20,16,4,"R2rev",7,53
"54.R2rev",20,17,4,"R2rev",7,54
"55.R2rev",20,18,4,"R2rev",7,55
"56.R2rev",20,19,4,"R2rev",7,56
"53.R4",20,16,4,"R4",3,53
"54.R4",20,17,4,"R4",5,54
"55.R4",20,18,4,"R4",4,55
"56.R4",20,19,4,"R4",4,56
"53.R6rev",20,16,4,"R6rev",7,53
"54.R6rev",20,17,4,"R6rev",7,54
"55.R6rev",20,18,4,"R6rev",7,55
"56.R6rev",20,19,4,"R6rev",7,56
"53.R8",20,16,4,"R8",6,53
"54.R8",20,17,4,"R8",6,54
"55.R8",20,18,4,"R8",6,55
"56.R8",20,19,4,"R8",5,56
"53.R13",20,16,4,"R13",6,53
"54.R13",20,17,4,"R13",5,54
"55.R13",20,18,4,"R13",6,55
"56.R13",20,19,4,"R13",5,56
"53.R14",20,16,4,"R14",7,53
"54.R14",20,17,4,"R14",5,54
"55.R14",20,18,4,"R14",6,55
"56.R14",20,19,4,"R14",5,56
"53.R15",20,16,4,"R15",5,53
"54.R15",20,17,4,"R15",5,54
"55.R15",20,18,4,"R15",6,55
"56.R15",20,19,4,"R15",5,56
"53.R17rev",20,16,4,"R17rev",7,53
"54.R17rev",20,17,4,"R17rev",7,54
"55.R17rev",20,18,4,"R17rev",7,55
"56.R17rev",20,19,4,"R17rev",7,56
"57.R1",21,22,5,"R1",6,57
"58.R1",21,23,5,"R1",6,58
"59.R1",21,24,5,"R1",7,59
"60.R1",21,25,5,"R1",5,60
"57.R2rev",21,22,5,"R2rev",4,57
"58.R2rev",21,23,5,"R2rev",7,58
"59.R2rev",21,24,5,"R2rev",4,59
"60.R2rev",21,25,5,"R2rev",4,60
"57.R4",21,22,5,"R4",6,57
"58.R4",21,23,5,"R4",4,58
"59.R4",21,24,5,"R4",4,59
"60.R4",21,25,5,"R4",6,60
"57.R6rev",21,22,5,"R6rev",7,57
"58.R6rev",21,23,5,"R6rev",6,58
"59.R6rev",21,24,5,"R6rev",7,59
"60.R6rev",21,25,5,"R6rev",3,60
"57.R8",21,22,5,"R8",6,57
"58.R8",21,23,5,"R8",6,58
"59.R8",21,24,5,"R8",6,59
"60.R8",21,25,5,"R8",6,60
"57.R13",21,22,5,"R13",7,57
"58.R13",21,23,5,"R13",6,58
"59.R13",21,24,5,"R13",4,59
"60.R13",21,25,5,"R13",6,60
"57.R14",21,22,5,"R14",6,57
"58.R14",21,23,5,"R14",7,58
"59.R14",21,24,5,"R14",6,59
"60.R14",21,25,5,"R14",6,60
"57.R15",21,22,5,"R15",6,57
"58.R15",21,23,5,"R15",5,58
"59.R15",21,24,5,"R15",5,59
"60.R15",21,25,5,"R15",6,60
"57.R17rev",21,22,5,"R17rev",7,57
"58.R17rev",21,23,5,"R17rev",7,58
"59.R17rev",21,24,5,"R17rev",7,59
"60.R17rev",21,25,5,"R17rev",7,60
"61.R1",22,21,5,"R1",7,61
"62.R1",22,23,5,"R1",4,62
"63.R1",22,24,5,"R1",6,63
"61.R2rev",22,21,5,"R2rev",6,61
"62.R2rev",22,23,5,"R2rev",4,62
"63.R2rev",22,24,5,"R2rev",7,63
"61.R4",22,21,5,"R4",6,61
"62.R4",22,23,5,"R4",1,62
"63.R4",22,24,5,"R4",4,63
"61.R6rev",22,21,5,"R6rev",7,61
"62.R6rev",22,23,5,"R6rev",6,62
"63.R6rev",22,24,5,"R6rev",7,63
"61.R8",22,21,5,"R8",6,61
"62.R8",22,23,5,"R8",5,62
"63.R8",22,24,5,"R8",6,63
"61.R13",22,21,5,"R13",6,61
"62.R13",22,23,5,"R13",5,62
"63.R13",22,24,5,"R13",7,63
"61.R14",22,21,5,"R14",6,61
"62.R14",22,23,5,"R14",4,62
"63.R14",22,24,5,"R14",7,63
"61.R15",22,21,5,"R15",6,61
"62.R15",22,23,5,"R15",2,62
"63.R15",22,24,5,"R15",7,63
"61.R17rev",22,21,5,"R17rev",7,61
"62.R17rev",22,23,5,"R17rev",7,62
"63.R17rev",22,24,5,"R17rev",7,63
"64.R1",23,21,5,"R1",6,64
"65.R1",23,22,5,"R1",6,65
"66.R1",23,24,5,"R1",6,66
"67.R1",23,25,5,"R1",4,67
"64.R2rev",23,21,5,"R2rev",7,64
"65.R2rev",23,22,5,"R2rev",6,65
"66.R2rev",23,24,5,"R2rev",6,66
"67.R2rev",23,25,5,"R2rev",5,67
"64.R4",23,21,5,"R4",6,64
"65.R4",23,22,5,"R4",6,65
"66.R4",23,24,5,"R4",6,66
"67.R4",23,25,5,"R4",4,67
"64.R6rev",23,21,5,"R6rev",7,64
"65.R6rev",23,22,5,"R6rev",6,65
"66.R6rev",23,24,5,"R6rev",6,66
"67.R6rev",23,25,5,"R6rev",5,67
"64.R8",23,21,5,"R8",6,64
"65.R8",23,22,5,"R8",6,65
"66.R8",23,24,5,"R8",6,66
"67.R8",23,25,5,"R8",4,67
"64.R13",23,21,5,"R13",6,64
"65.R13",23,22,5,"R13",6,65
"66.R13",23,24,5,"R13",6,66
"67.R13",23,25,5,"R13",4,67
"64.R14",23,21,5,"R14",6,64
"65.R14",23,22,5,"R14",6,65
"66.R14",23,24,5,"R14",6,66
"67.R14",23,25,5,"R14",5,67
"64.R15",23,21,5,"R15",6,64
"65.R15",23,22,5,"R15",5,65
"66.R15",23,24,5,"R15",5,66
"67.R15",23,25,5,"R15",4,67
"64.R17rev",23,21,5,"R17rev",6,64
"65.R17rev",23,22,5,"R17rev",6,65
"66.R17rev",23,24,5,"R17rev",6,66
"67.R17rev",23,25,5,"R17rev",4,67
"68.R1",24,22,5,"R1",7,68
"69.R1",24,23,5,"R1",5,69
"70.R1",24,25,5,"R1",4,70
"68.R2rev",24,22,5,"R2rev",7,68
"69.R2rev",24,23,5,"R2rev",7,69
"70.R2rev",24,25,5,"R2rev",7,70
"68.R4",24,22,5,"R4",7,68
"69.R4",24,23,5,"R4",5,69
"70.R4",24,25,5,"R4",5,70
"68.R6rev",24,22,5,"R6rev",7,68
"69.R6rev",24,23,5,"R6rev",7,69
"70.R6rev",24,25,5,"R6rev",7,70
"68.R8",24,22,5,"R8",7,68
"69.R8",24,23,5,"R8",5,69
"70.R8",24,25,5,"R8",6,70
"68.R13",24,22,5,"R13",7,68
"69.R13",24,23,5,"R13",4,69
"70.R13",24,25,5,"R13",4,70
"68.R14",24,22,5,"R14",7,68
"69.R14",24,23,5,"R14",4,69
"70.R14",24,25,5,"R14",5,70
"68.R15",24,22,5,"R15",7,68
"69.R15",24,23,5,"R15",4,69
"70.R15",24,25,5,"R15",6,70
"68.R17rev",24,22,5,"R17rev",7,68
"69.R17rev",24,23,5,"R17rev",7,69
"70.R17rev",24,25,5,"R17rev",7,70
"71.R1",25,21,5,"R1",7,71
"72.R1",25,22,5,"R1",6,72
"73.R1",25,23,5,"R1",4,73
"74.R1",25,24,5,"R1",5,74
"71.R2rev",25,21,5,"R2rev",7,71
"72.R2rev",25,22,5,"R2rev",7,72
"73.R2rev",25,23,5,"R2rev",4,73
"74.R2rev",25,24,5,"R2rev",6,74
"71.R4",25,21,5,"R4",5,71
"72.R4",25,22,5,"R4",2,72
"73.R4",25,23,5,"R4",2,73
"74.R4",25,24,5,"R4",1,74
"71.R6rev",25,21,5,"R6rev",7,71
"72.R6rev",25,22,5,"R6rev",6,72
"73.R6rev",25,23,5,"R6rev",7,73
"74.R6rev",25,24,5,"R6rev",7,74
"71.R8",25,21,5,"R8",6,71
"72.R8",25,22,5,"R8",6,72
"73.R8",25,23,5,"R8",5,73
"74.R8",25,24,5,"R8",3,74
"71.R13",25,21,5,"R13",6,71
"72.R13",25,22,5,"R13",7,72
"73.R13",25,23,5,"R13",6,73
