"","rater_id","rated_ID","Group","presItem","prestigeRatings","id","Age","Sex","Score","OverConf","nominated","initInf","Liked","Inflntl","ScoreC","overconf","OverConfC","initLrn","raterId","ratedID","grpID","itemID"
"6.R15",7,8,2,"R15",4,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,4
"6.R17rev",7,8,2,"R17rev",7,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,5
"15.R1",9,8,2,"R1",4,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,1
"15.R2rev",9,8,2,"R2rev",5,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,6
"15.R4",9,8,2,"R4",4,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,7
"15.R6rev",9,8,2,"R6rev",7,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,8
"15.R8",9,8,2,"R8",6,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,9
"15.R13",9,8,2,"R13",6,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,2
"15.R14",9,8,2,"R14",6,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,3
"15.R15",9,8,2,"R15",5,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,4
"15.R17rev",9,8,2,"R17rev",7,15,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,127,116,10,5
"19.R1",10,8,2,"R1",5,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,1
"19.R2rev",10,8,2,"R2rev",6,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,6
"19.R4",10,8,2,"R4",5,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,7
"19.R6rev",10,8,2,"R6rev",6,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,8
"19.R8",10,8,2,"R8",5,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,9
"19.R13",10,8,2,"R13",4,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,2
"19.R14",10,8,2,"R14",5,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,3
"19.R15",10,8,2,"R15",5,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,4
"19.R17rev",10,8,2,"R17rev",6,19,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,1,116,10,5
"3.R1",6,9,2,"R1",4,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,1
"3.R2rev",6,9,2,"R2rev",7,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,6
"3.R4",6,9,2,"R4",3,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,7
"3.R6rev",6,9,2,"R6rev",3,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,8
"3.R8",6,9,2,"R8",4,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,9
"3.R13",6,9,2,"R13",4,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,2
"3.R14",6,9,2,"R14",4,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,3
"3.R15",6,9,2,"R15",2,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,4
"3.R17rev",6,9,2,"R17rev",7,3,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,99,126,10,5
"7.R1",7,9,2,"R1",4,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,1
"7.R2rev",7,9,2,"R2rev",7,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,6
"7.R4",7,9,2,"R4",3,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,7
"7.R6rev",7,9,2,"R6rev",6,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,8
"7.R8",7,9,2,"R8",4,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,9
"7.R13",7,9,2,"R13",4,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,2
"7.R14",7,9,2,"R14",2,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,3
"7.R15",7,9,2,"R15",2,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,4
"7.R17rev",7,9,2,"R17rev",7,7,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,108,126,10,5
"11.R1",8,9,2,"R1",5,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,1
"11.R2rev",8,9,2,"R2rev",6,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,6
"11.R4",8,9,2,"R4",5,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,7
"11.R6rev",8,9,2,"R6rev",5,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,8
"11.R8",8,9,2,"R8",5,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,9
"11.R13",8,9,2,"R13",6,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,2
"11.R14",8,9,2,"R14",5,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,3
"11.R15",8,9,2,"R15",5,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,4
"11.R17rev",8,9,2,"R17rev",6,11,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,118,126,10,5
"20.R1",10,9,2,"R1",5,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,1
"20.R2rev",10,9,2,"R2rev",3,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,6
"20.R4",10,9,2,"R4",4,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,7
"20.R6rev",10,9,2,"R6rev",5,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,8
"20.R8",10,9,2,"R8",6,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,9
"20.R13",10,9,2,"R13",4,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,2
"20.R14",10,9,2,"R14",3,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,3
"20.R15",10,9,2,"R15",3,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,4
"20.R17rev",10,9,2,"R17rev",7,20,26,0,28,26,0,0,0.875,0.277777777777778,-0.838912133891213,66,-9.44979079497908,0,1,126,10,5
"4.R1",6,10,2,"R1",4,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,1
"4.R2rev",6,10,2,"R2rev",7,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,6
"4.R4",6,10,2,"R4",3,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,7
"4.R6rev",6,10,2,"R6rev",6,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,8
"4.R8",6,10,2,"R8",3,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,9
"4.R13",6,10,2,"R13",3,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,2
"4.R14",6,10,2,"R14",3,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,3
"4.R15",6,10,2,"R15",2,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,4
"4.R17rev",6,10,2,"R17rev",7,4,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,99,1,10,5
"8.R1",7,10,2,"R1",4,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,1
"8.R2rev",7,10,2,"R2rev",6,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,6
"8.R4",7,10,2,"R4",3,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,7
"8.R6rev",7,10,2,"R6rev",6,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,8
"8.R8",7,10,2,"R8",4,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,9
"8.R13",7,10,2,"R13",4,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,2
"8.R14",7,10,2,"R14",1,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,3
"8.R15",7,10,2,"R15",2,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,4
"8.R17rev",7,10,2,"R17rev",6,8,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,108,1,10,5
"12.R1",8,10,2,"R1",2,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,1
"12.R2rev",8,10,2,"R2rev",6,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,6
"12.R4",8,10,2,"R4",3,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,7
"12.R6rev",8,10,2,"R6rev",4,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,8
"12.R8",8,10,2,"R8",3,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,9
"12.R13",8,10,2,"R13",5,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,2
"12.R14",8,10,2,"R14",4,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,3
"12.R15",8,10,2,"R15",3,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,4
"12.R17rev",8,10,2,"R17rev",6,12,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,118,1,10,5
"16.R1",9,10,2,"R1",6,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,1
"16.R2rev",9,10,2,"R2rev",6,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,6
"16.R4",9,10,2,"R4",4,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,7
"16.R6rev",9,10,2,"R6rev",7,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,8
"16.R8",9,10,2,"R8",6,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,9
"16.R13",9,10,2,"R13",5,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,2
"16.R14",9,10,2,"R14",3,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,3
"16.R15",9,10,2,"R15",4,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,4
"16.R17rev",9,10,2,"R17rev",7,16,26,0,29,32,0,0,0.833333333333333,0.319444444444444,0.161087866108787,72,-3.44979079497908,0,127,1,10,5
"25.R1",12,11,3,"R1",7,25,37,1,25,30,0,0,0.958333333333333,0.458333333333333,-3.83891213389121,70,-5.44979079497908,0,22,12,21,1
"25.R2rev",12,11,3,"R2rev",7,25,37,1,25,30,0,0,0.958333333333333,0.458333333333333,-3.83891213389121,70,-5.44979079497908,0,22,12,21,6
