"","rater_id","rated_ID","Group","domItem","dominanceRatings","id"
"245.R3",86,87,18,"R3",4,245
"246.R3",86,88,18,"R3",5,246
"247.R3",86,89,18,"R3",2,247
"248.R3",86,90,18,"R3",2,248
"249.R3",89,86,18,"R3",5,249
"250.R3",89,87,18,"R3",7,250
"251.R3",89,88,18,"R3",5,251
"252.R3",89,90,18,"R3",1,252
"253.R3",91,92,19,"R3",4,253
"254.R3",91,93,19,"R3",5,254
"255.R3",91,94,19,"R3",5,255
"256.R3",91,95,19,"R3",4,256
"257.R3",92,91,19,"R3",2,257
"258.R3",92,93,19,"R3",2,258
"259.R3",92,94,19,"R3",2,259
"260.R3",92,95,19,"R3",6,260
"261.R3",93,91,19,"R3",1,261
"262.R3",93,92,19,"R3",3,262
"263.R3",93,94,19,"R3",1,263
"264.R3",93,95,19,"R3",3,264
"265.R3",95,91,19,"R3",1,265
"266.R3",95,92,19,"R3",6,266
"267.R3",95,93,19,"R3",4,267
"268.R3",95,94,19,"R3",1,268
"269.R3",96,97,20,"R3",2,269
"270.R3",96,98,20,"R3",4,270
"271.R3",96,99,20,"R3",2,271
"272.R3",96,100,20,"R3",2,272
"273.R3",97,96,20,"R3",4,273
"274.R3",97,98,20,"R3",1,274
"275.R3",97,99,20,"R3",2,275
"276.R3",97,100,20,"R3",2,276
"277.R3",98,96,20,"R3",4,277
"278.R3",98,97,20,"R3",3,278
"279.R3",98,99,20,"R3",3,279
"280.R3",98,100,20,"R3",3,280
"281.R3",99,96,20,"R3",4,281
"282.R3",99,97,20,"R3",6,282
"283.R3",99,98,20,"R3",5,283
"284.R3",99,100,20,"R3",3,284
"285.R3",100,96,20,"R3",5,285
"286.R3",100,97,20,"R3",3,286
"287.R3",100,98,20,"R3",4,287
"288.R3",100,99,20,"R3",4,288
"289.R3",101,102,21,"R3",2,289
"290.R3",101,103,21,"R3",1,290
"291.R3",101,104,21,"R3",1,291
"292.R3",101,105,21,"R3",1,292
"293.R3",102,101,21,"R3",4,293
"294.R3",102,103,21,"R3",5,294
"295.R3",102,104,21,"R3",2,295
"296.R3",102,105,21,"R3",4,296
"297.R3",103,101,21,"R3",2,297
"298.R3",103,102,21,"R3",4,298
"299.R3",103,104,21,"R3",2,299
"300.R3",103,105,21,"R3",4,300
"301.R3",104,101,21,"R3",1,301
"302.R3",104,102,21,"R3",1,302
"303.R3",104,103,21,"R3",1,303
"304.R3",104,105,21,"R3",1,304
"305.R3",105,101,21,"R3",1,305
"306.R3",105,102,21,"R3",6,306
"307.R3",105,103,21,"R3",2,307
"308.R3",105,104,21,"R3",1,308
"309.R3",106,107,22,"R3",1,309
"310.R3",106,108,22,"R3",1,310
"311.R3",106,109,22,"R3",3,311
"312.R3",106,110,22,"R3",5,312
"313.R3",107,106,22,"R3",2,313
"314.R3",107,108,22,"R3",4,314
"315.R3",107,109,22,"R3",4,315
"316.R3",107,110,22,"R3",5,316
"317.R3",108,106,22,"R3",1,317
"318.R3",108,107,22,"R3",7,318
"319.R3",108,109,22,"R3",1,319
"320.R3",108,110,22,"R3",7,320
"321.R3",109,106,22,"R3",1,321
"322.R3",109,107,22,"R3",2,322
"323.R3",109,108,22,"R3",1,323
"324.R3",109,110,22,"R3",5,324
"325.R3",110,106,22,"R3",1,325
"326.R3",110,107,22,"R3",7,326
"327.R3",110,109,22,"R3",5,327
"328.R3",110,108,22,"R3",1,328
"329.R3",112,111,23,"R3",6,329
"330.R3",112,113,23,"R3",1,330
"331.R3",112,114,23,"R3",3,331
"332.R3",112,115,23,"R3",6,332
"333.R3",113,111,23,"R3",4,333
"334.R3",113,112,23,"R3",4,334
"335.R3",113,114,23,"R3",5,335
"336.R3",113,115,23,"R3",3,336
"337.R3",114,111,23,"R3",6,337
"338.R3",114,112,23,"R3",2,338
"339.R3",114,113,23,"R3",1,339
"340.R3",114,115,23,"R3",3,340
"341.R3",115,111,23,"R3",5,341
"342.R3",115,112,23,"R3",1,342
"343.R3",115,113,23,"R3",1,343
"344.R3",115,114,23,"R3",3,344
"345.R3",116,117,24,"R3",1,345
"346.R3",116,118,24,"R3",1,346
"347.R3",116,119,24,"R3",1,347
"348.R3",116,120,24,"R3",1,348
"349.R3",117,116,24,"R3",1,349
"350.R3",117,118,24,"R3",1,350
"351.R3",117,119,24,"R3",1,351
"352.R3",117,120,24,"R3",1,352
"353.R3",118,116,24,"R3",3,353
"354.R3",118,117,24,"R3",1,354
"355.R3",118,119,24,"R3",2,355
"356.R3",118,120,24,"R3",1,356
"357.R3",119,116,24,"R3",4,357
"358.R3",119,117,24,"R3",2,358
"359.R3",119,118,24,"R3",3,359
"360.R3",119,120,24,"R3",2,360
"361.R3",120,117,24,"R3",2,361
"362.R3",120,118,24,"R3",3,362
"363.R3",120,119,24,"R3",2,363
"364.R3",121,122,25,"R3",2,364
"365.R3",121,123,25,"R3",5,365
"366.R3",121,124,25,"R3",5,366
"367.R3",121,125,25,"R3",2,367
"368.R3",122,121,25,"R3",2,368
"369.R3",122,123,25,"R3",3,369
"370.R3",122,124,25,"R3",4,370
"371.R3",122,125,25,"R3",1,371
"372.R3",123,121,25,"R3",1,372
"373.R3",123,122,25,"R3",2,373
"374.R3",123,124,25,"R3",3,374
"375.R3",123,125,25,"R3",1,375
"376.R3",124,121,25,"R3",2,376
"377.R3",124,122,25,"R3",2,377
"378.R3",124,123,25,"R3",4,378
"379.R3",124,125,25,"R3",2,379
"380.R3",125,121,25,"R3",3,380
"381.R3",125,122,25,"R3",3,381
"382.R3",125,123,25,"R3",1,382
"383.R3",125,124,25,"R3",7,383
"384.R3",126,127,26,"R3",3,384
"385.R3",126,128,26,"R3",2,385
"386.R3",126,129,26,"R3",2,386
"387.R3",126,130,26,"R3",4,387
"388.R3",127,126,26,"R3",1,388
"389.R3",127,128,26,"R3",1,389
"390.R3",127,129,26,"R3",5,390
"391.R3",127,130,26,"R3",1,391
"392.R3",128,126,26,"R3",3,392
"393.R3",128,127,26,"R3",1,393
"394.R3",128,129,26,"R3",6,394
"395.R3",128,130,26,"R3",1,395
"396.R3",129,126,26,"R3",2,396
"397.R3",129,127,26,"R3",1,397
"398.R3",129,128,26,"R3",1,398
"399.R3",129,130,26,"R3",5,399
"400.R3",130,126,26,"R3",1,400
"401.R3",130,127,26,"R3",1,401
"402.R3",130,128,26,"R3",2,402
"403.R3",130,129,26,"R3",1,403
"404.R3",131,132,27,"R3",2,404
"405.R3",131,133,27,"R3",2,405
"406.R3",131,134,27,"R3",2,406
"407.R3",131,135,27,"R3",1,407
"408.R3",132,131,27,"R3",1,408
"409.R3",132,133,27,"R3",5,409
"410.R3",132,134,27,"R3",2,410
"411.R3",132,135,27,"R3",1,411
"412.R3",133,131,27,"R3",2,412
"413.R3",133,132,27,"R3",1,413
"414.R3",133,134,27,"R3",2,414
"415.R3",133,135,27,"R3",1,415
"416.R3",134,131,27,"R3",2,416
"417.R3",134,132,27,"R3",5,417
"418.R3",134,133,27,"R3",5,418
"419.R3",134,135,27,"R3",1,419
"420.R3",135,131,27,"R3",1,420
"421.R3",135,132,27,"R3",1,421
"422.R3",135,133,27,"R3",3,422
"423.R3",135,134,27,"R3",2,423
"424.R3",136,138,28,"R3",2,424
"425.R3",136,139,28,"R3",1,425
"426.R3",136,140,28,"R3",5,426
"427.R3",137,136,28,"R3",5,427
"428.R3",137,138,28,"R3",2,428
"429.R3",138,136,28,"R3",3,429
"430.R3",138,137,28,"R3",3,430
"431.R3",138,139,28,"R3",3,431
"432.R3",138,140,28,"R3",5,432
"433.R3",139,136,28,"R3",2,433
"434.R3",139,137,28,"R3",1,434
"435.R3",139,138,28,"R3",2,435
"436.R3",139,140,28,"R3",6,436
"437.R3",140,136,28,"R3",5,437
"438.R3",140,137,28,"R3",1,438
"439.R3",140,138,28,"R3",4,439
"440.R3",140,139,28,"R3",3,440
"441.R3",141,142,29,"R3",2,441
"442.R3",141,143,29,"R3",1,442
"443.R3",141,144,29,"R3",1,443
"444.R3",141,145,29,"R3",2,444
"445.R3",142,141,29,"R3",3,445
"446.R3",142,143,29,"R3",3,446
"447.R3",142,144,29,"R3",3,447
"448.R3",142,145,29,"R3",2,448
"449.R3",143,141,29,"R3",2,449
"450.R3",143,142,29,"R3",4,450
"451.R3",143,144,29,"R3",1,451
"452.R3",143,145,29,"R3",1,452
"453.R3",144,141,29,"R3",1,453
"454.R3",144,142,29,"R3",3,454
"455.R3",144,143,29,"R3",2,455
"456.R3",144,145,29,"R3",1,456
"457.R3",145,141,29,"R3",1,457
"458.R3",145,142,29,"R3",5,458
"459.R3",145,143,29,"R3",1,459
"460.R3",145,144,29,"R3",4,460
"461.R3",146,147,30,"R3",7,461
"462.R3",146,148,30,"R3",3,462
"463.R3",146,149,30,"R3",3,463
"464.R3",146,150,30,"R3",4,464
"465.R3",147,146,30,"R3",3,465
"466.R3",147,148,30,"R3",3,466
"467.R3",147,149,30,"R3",1,467
"468.R3",147,150,30,"R3",1,468
"469.R3",148,146,30,"R3",3,469
"470.R3",148,147,30,"R3",4,470
"471.R3",148,149,30,"R3",3,471
"472.R3",148,150,30,"R3",3,472
"473.R3",149,146,30,"R3",3,473
"474.R3",149,147,30,"R3",2,474
"475.R3",149,148,30,"R3",1,475
"476.R3",149,150,30,"R3",1,476
"477.R3",150,146,30,"R3",1,477
"478.R3",150,147,30,"R3",7,478
"479.R3",150,148,30,"R3",1,479
"480.R3",150,149,30,"R3",1,480
"481.R3",151,152,31,"R3",4,481
"482.R3",151,153,31,"R3",3,482
"483.R3",151,154,31,"R3",1,483
"484.R3",151,155,31,"R3",3,484
"485.R3",152,151,31,"R3",1,485
"486.R3",152,153,31,"R3",4,486
"487.R3",152,154,31,"R3",4,487
"488.R3",152,155,31,"R3",4,488
"489.R3",153,151,31,"R3",2,489
"490.R3",153,152,31,"R3",4,490
"491.R3",153,154,31,"R3",3,491
"492.R3",153,155,31,"R3",4,492
"493.R3",154,151,31,"R3",2,493
"494.R3",154,152,31,"R3",2,494
"495.R3",154,153,31,"R3",3,495
"496.R3",154,155,31,"R3",3,496
"497.R3",155,151,31,"R3",2,497
"498.R3",155,152,31,"R3",5,498
"499.R3",155,153,31,"R3",5,499
"500.R3",155,154,31,"R3",1,500
"501.R3",156,157,32,"R3",4,501
"502.R3",156,158,32,"R3",5,502
"503.R3",156,159,32,"R3",4,503
"504.R3",156,160,32,"R3",3,504
"505.R3",157,156,32,"R3",1,505
"506.R3",157,158,32,"R3",3,506
"507.R3",157,159,32,"R3",5,507
"508.R3",157,160,32,"R3",1,508
"509.R3",158,156,32,"R3",1,509
"510.R3",158,157,32,"R3",4,510
"511.R3",158,159,32,"R3",4,511
"512.R3",158,160,32,"R3",1,512
"513.R3",159,156,32,"R3",1,513
"514.R3",159,157,32,"R3",4,514
"515.R3",159,158,32,"R3",3,515
"516.R3",159,160,32,"R3",3,516
"517.R3",160,156,32,"R3",2,517
"518.R3",160,157,32,"R3",4,518
"519.R3",160,158,32,"R3",4,519
"520.R3",160,159,32,"R3",7,520
"1.R5",6,7,2,"R5",4,1
"2.R5",6,8,2,"R5",1,2
"3.R5",6,9,2,"R5",1,3
"4.R5",6,10,2,"R5",2,4
"5.R5",7,6,2,"R5",3,5
"6.R5",7,8,2,"R5",2,6
"7.R5",7,9,2,"R5",1,7
"8.R5",7,10,2,"R5",4,8
"9.R5",8,6,2,"R5",4,9
"10.R5",8,7,2,"R5",3,10
"11.R5",8,9,2,"R5",2,11
"12.R5",8,10,2,"R5",3,12
"13.R5",9,6,2,"R5",3,13
"14.R5",9,7,2,"R5",2,14
"15.R5",9,8,2,"R5",3,15
"16.R5",9,10,2,"R5",1,16
"17.R5",10,6,2,"R5",3,17
"18.R5",10,7,2,"R5",2,18
"19.R5",10,8,2,"R5",2,19
"20.R5",10,9,2,"R5",1,20
"21.R5",11,12,3,"R5",1,21
"22.R5",11,13,3,"R5",4,22
"23.R5",11,14,3,"R5",3,23
"24.R5",11,15,3,"R5",1,24
"25.R5",12,11,3,"R5",1,25
"26.R5",12,13,3,"R5",7,26
"27.R5",12,14,3,"R5",4,27
"28.R5",12,15,3,"R5",6,28
"29.R5",13,11,3,"R5",3,29
"30.R5",13,12,3,"R5",2,30
"31.R5",13,14,3,"R5",7,31
"32.R5",13,15,3,"R5",6,32
"33.R5",14,11,3,"R5",1,33
"34.R5",14,12,3,"R5",2,34
"35.R5",14,13,3,"R5",2,35
"36.R5",14,15,3,"R5",4,36
"37.R5",15,11,3,"R5",1,37
"38.R5",15,12,3,"R5",1,38
"39.R5",15,13,3,"R5",2,39
"40.R5",15,14,3,"R5",3,40
"41.R5",16,17,4,"R5",1,41
"42.R5",16,18,4,"R5",1,42
"43.R5",16,19,4,"R5",1,43
"44.R5",16,20,4,"R5",5,44
"45.R5",17,16,4,"R5",2,45
"46.R5",17,18,4,"R5",4,46
"47.R5",17,19,4,"R5",1,47
"48.R5",17,20,4,"R5",2,48
"49.R5",18,16,4,"R5",2,49
"50.R5",18,17,4,"R5",1,50
"51.R5",18,19,4,"R5",1,51
"52.R5",18,20,4,"R5",1,52
"53.R5",20,16,4,"R5",2,53
"54.R5",20,17,4,"R5",1,54
"55.R5",20,18,4,"R5",1,55
"56.R5",20,19,4,"R5",1,56
"57.R5",21,22,5,"R5",4,57
"58.R5",21,23,5,"R5",2,58
"59.R5",21,24,5,"R5",1,59
"60.R5",21,25,5,"R5",4,60
"61.R5",22,21,5,"R5",3,61
"62.R5",22,23,5,"R5",1,62
"63.R5",22,24,5,"R5",1,63
"64.R5",23,21,5,"R5",4,64
"65.R5",23,22,5,"R5",5,65
"66.R5",23,24,5,"R5",3,66
"67.R5",23,25,5,"R5",5,67
"68.R5",24,22,5,"R5",3,68
"69.R5",24,23,5,"R5",3,69
"70.R5",24,25,5,"R5",3,70
"71.R5",25,21,5,"R5",1,71
"72.R5",25,22,5,"R5",1,72
"73.R5",25,23,5,"R5",1,73
"74.R5",25,24,5,"R5",1,74
"75.R5",26,28,6,"R5",4,75
"76.R5",26,29,6,"R5",1,76
"77.R5",26,30,6,"R5",1,77
"78.R5",28,26,6,"R5",3,78
"79.R5",28,27,6,"R5",4,79
"80.R5",28,29,6,"R5",3,80
"81.R5",28,30,6,"R5",5,81
"82.R5",29,26,6,"R5",1,82
"83.R5",29,27,6,"R5",2,83
"84.R5",29,28,6,"R5",1,84
"85.R5",29,30,6,"R5",1,85
"86.R5",32,31,7,"R5",6,86
"87.R5",32,33,7,"R5",1,87
"88.R5",32,34,7,"R5",1,88
"89.R5",32,35,7,"R5",1,89
"90.R5",33,31,7,"R5",4,90
"91.R5",33,34,7,"R5",7,91
"92.R5",33,35,7,"R5",1,92
"93.R5",34,31,7,"R5",1,93
"94.R5",34,32,7,"R5",1,94
"95.R5",34,33,7,"R5",1,95
"96.R5",34,35,7,"R5",1,96
"97.R5",35,31,7,"R5",7,97
"98.R5",35,32,7,"R5",2,98
"99.R5",35,33,7,"R5",4,99
"100.R5",35,34,7,"R5",4,100
"101.R5",36,37,8,"R5",4,101
"102.R5",36,38,8,"R5",2,102
"103.R5",36,39,8,"R5",3,103
"104.R5",36,40,8,"R5",2,104
"105.R5",37,36,8,"R5",2,105
"106.R5",37,38,8,"R5",1,106
"107.R5",37,39,8,"R5",2,107
"108.R5",37,40,8,"R5",2,108
"109.R5",38,36,8,"R5",2,109
"110.R5",38,37,8,"R5",1,110
"111.R5",38,39,8,"R5",2,111
"112.R5",38,40,8,"R5",2,112
"113.R5",39,36,8,"R5",2,113
"114.R5",39,37,8,"R5",1,114
"115.R5",39,38,8,"R5",1,115
"116.R5",39,40,8,"R5",1,116
"117.R5",40,36,8,"R5",3,117
"118.R5",40,37,8,"R5",2,118
"119.R5",40,38,8,"R5",1,119
"120.R5",40,39,8,"R5",4,120
"121.R5",41,42,9,"R5",2,121
"122.R5",41,43,9,"R5",1,122
"123.R5",41,44,9,"R5",1,123
"124.R5",41,45,9,"R5",1,124
"125.R5",42,41,9,"R5",5,125
"126.R5",42,43,9,"R5",1,126
"127.R5",42,44,9,"R5",3,127
"128.R5",42,45,9,"R5",3,128
"129.R5",43,42,9,"R5",2,129
"130.R5",43,44,9,"R5",2,130
"131.R5",43,45,9,"R5",2,131
"132.R5",44,41,9,"R5",4,132
"133.R5",44,42,9,"R5",6,133
"134.R5",44,43,9,"R5",6,134
"135.R5",44,45,9,"R5",3,135
"136.R5",45,41,9,"R5",2,136
"137.R5",45,43,9,"R5",4,137
"138.R5",45,44,9,"R5",2,138
"139.R5",46,50,10,"R5",1,139
"140.R5",47,46,10,"R5",5,140
"141.R5",47,48,10,"R5",3,141
"142.R5",47,49,10,"R5",4,142
"143.R5",47,50,10,"R5",4,143
"144.R5",48,46,10,"R5",1,144
"145.R5",48,47,10,"R5",1,145
"146.R5",48,49,10,"R5",1,146
"147.R5",48,50,10,"R5",1,147
"148.R5",49,50,10,"R5",5,148
"149.R5",56,57,12,"R5",1,149
"150.R5",56,58,12,"R5",3,150
"151.R5",56,59,12,"R5",5,151
"152.R5",56,60,12,"R5",4,152
"153.R5",57,56,12,"R5",1,153
"154.R5",57,58,12,"R5",1,154
"155.R5",57,59,12,"R5",1,155
"156.R5",57,60,12,"R5",1,156
"157.R5",58,56,12,"R5",1,157
"158.R5",58,57,12,"R5",1,158
"159.R5",58,59,12,"R5",1,159
"160.R5",58,60,12,"R5",1,160
"161.R5",59,56,12,"R5",4,161
"162.R5",59,57,12,"R5",2,162
"163.R5",59,58,12,"R5",4,163
"164.R5",59,60,12,"R5",5,164
"165.R5",60,56,12,"R5",2,165
"166.R5",60,57,12,"R5",1,166
"167.R5",60,58,12,"R5",1,167
"168.R5",60,59,12,"R5",1,168
"169.R5",61,62,13,"R5",2,169
"170.R5",61,63,13,"R5",5,170
"171.R5",61,64,13,"R5",4,171
"172.R5",61,65,13,"R5",3,172
"173.R5",62,61,13,"R5",1,173
"174.R5",62,63,13,"R5",2,174
"175.R5",62,64,13,"R5",3,175
"176.R5",62,65,13,"R5",2,176
